=== SMART MULTI-PROVIDER ALBUM ART FIXER REPORT ===
Date & Time: 2026-07-25 18:11:34
Total Audio Files Processed: 202
Worker Threads Used: 10

FILE NAME | TRACK INFO | MATCHED ALBUM | SCORE | SOURCE & QUALITY | STATUS & MATCH TYPE
Calvin Harris - I Need Your Love (feat. Ellie Goulding).m4a | I Need Your Love (feat. Ellie Goulding) - Calvin Harris | Matched: Halcyon Nights | Score: 240 | Quality: iTunes High-Res (3000px) | SUCCESS (Studio Album)
Camila Cabello - Havana (feat. Young Thug).m4a | Havana (feat. Young Thug) - Camila Cabello | Matched: Camila | Score: 240 | Quality: iTunes High-Res (3000px) | SUCCESS (Studio Album)
Chappell Roan - Good Luck, Babe!.m4a | Good Luck, Babe! - Chappell Roan | Matched: Good Luck, Babe! - Single | Score: 270 | Quality: iTunes High-Res (3000px) | SUCCESS (Single)
Chappell Roan - Pink Pony Club.m4a | Pink Pony Club - Chappell Roan | Matched: Pink Pony Club - Single | Score: 270 | Quality: iTunes High-Res (3000px) | SUCCESS (Single)
Chappell Roan - The Giver.m4a | The Giver - Chappell Roan | Matched: The Giver - Single | Score: 270 | Quality: iTunes High-Res (3000px) | SUCCESS (Single)
Charli xcx - 360.m4a | 360 - Charli xcx | Matched: 360 - Single | Score: 270 | Quality: iTunes High-Res (3000px) | SUCCESS (Single)
Chris Brown - Holy Blindfold.m4a | Holy Blindfold - Chris Brown | Matched: Holy Blindfold - Single | Score: 270 | Quality: iTunes High-Res (3000px) | SUCCESS (Single)
Chris LaRocca - ladybug.m4a | ladybug - Chris LaRocca | Matched: ladybug - Single | Score: 270 | Quality: iTunes High-Res (3000px) | SUCCESS (Single)
Christian Bautista - Everything You Do.m4a | Everything You Do - Christian Bautista | Matched: Everything You Do - Single | Score: 270 | Quality: iTunes High-Res (3000px) | SUCCESS (Single)
Christina Aguilera - What a Girl Wants.m4a | What a Girl Wants - Christina Aguilera | Matched: Christina Aguilera (Expanded Edition) | Score: 240 | Quality: iTunes High-Res (3000px) | SUCCESS (Studio Album)
Coldplay - feelslikeimfallinginlove.m4a | feelslikeimfallinginlove - Coldplay | Matched: feelslikeimfallinginlove (Single Version) | Score: 270 | Quality: iTunes High-Res (3000px) | SUCCESS (Single)
Coldplay - In My Place.m4a | In My Place - Coldplay | Matched: In My Place - Single | Score: 270 | Quality: iTunes High-Res (3000px) | SUCCESS (Single)
Coldplay X BTS - My Universe.m4a | My Universe - Coldplay X BTS | Matched: My Universe - Single | Score: 270 | Quality: iTunes High-Res (3000px) | SUCCESS (Single)
Corbyn Besson & TZUYU - Blink.m4a | Blink - Corbyn Besson & TZUYU | Matched: HEAD FIRST - EP | Score: 165 | Quality: iTunes High-Res (3000px) | SUCCESS (Studio Album)
Daniel Bedingfield - If You're Not the One.m4a | If You're Not the One - Daniel Bedingfield | Matched: If You're Not the One - Single | Score: 270 | Quality: iTunes High-Res (3000px) | SUCCESS (Single)
Daniel Caesar - Always.m4a | Always - Daniel Caesar | Matched: NEVER ENOUGH | Score: 240 | Quality: iTunes High-Res (3000px) | SUCCESS (Studio Album)
Daniel Caesar - Best Part (feat. H.E.R.).m4a | Best Part (feat. H.E.R.) - Daniel Caesar | Matched: Freudian | Score: 240 | Quality: iTunes High-Res (3000px) | SUCCESS (Studio Album)
David Guetta & Sia - Beautiful People.m4a | Beautiful People - David Guetta & Sia | Matched: Beautiful People - Single | Score: 270 | Quality: iTunes High-Res (3000px) | SUCCESS (Single)
Devon Cole - Sorry Mom.m4a | Sorry Mom - Devon Cole | Matched: Sorry Mom - Single | Score: 270 | Quality: iTunes High-Res (3000px) | SUCCESS (Single)
Dhruv - double take.m4a | double take - Dhruv | Matched: double take - Single | Score: 270 | Quality: iTunes High-Res (3000px) | SUCCESS (Single)
Diplo & Leon Bridges - Horizon.m4a | Horizon - Diplo & Leon Bridges | Matched: Diplo Presents Thomas Wesley: Chapter 1 - Snake Oil (Deluxe) | Score: 240 | Quality: iTunes High-Res (3000px) | SUCCESS (Studio Album)
Disclosure - She’s Gone, Dance On.m4a | She’s Gone, Dance On - Disclosure | Matched: She’s Gone, Dance On - Single | Score: 270 | Quality: iTunes High-Res (3000px) | SUCCESS (Single)
DJ Earworm - United States of Pop.m4a | United States of Pop - DJ Earworm | Matched: United States of Pop - Single | Score: 270 | Quality: iTunes High-Res (3000px) | SUCCESS (Single)
DJ Snake - Talk (feat. George Maple).m4a | Talk (feat. George Maple) - DJ Snake | Matched: Encore | Score: 240 | Quality: iTunes High-Res (3000px) | SUCCESS (Studio Album)
Doechii - Anxiety.m4a | Anxiety - Doechii | Matched: Anxiety - Single | Score: 270 | Quality: iTunes High-Res (3000px) | SUCCESS (Single)
Doja Cat - Jealous Type.m4a | Jealous Type - Doja Cat | Matched: Jealous Type - Single | Score: 270 | Quality: iTunes High-Res (3000px) | SUCCESS (Single)
Dominic Fike - Great Pretender.m4a | Great Pretender - Dominic Fike | Matched: Rocket | Score: 240 | Quality: iTunes High-Res (3000px) | SUCCESS (Studio Album)
Don Mclean - American Pie (Full Length Version).m4a | American Pie (Full Length Version) - Don Mclean | Matched: American Pie | Score: 270 | Quality: iTunes High-Res (3000px) | SUCCESS (Single)
Don Toliver - Lose My Mind (From _F1® The Movie_) [feat. Doja Cat].m4a | Lose My Mind (From "F1® The Movie") [feat. Doja Cat] - Don Toliver | Matched: F1 The Album (Cinematic Edition) | Score: 240 | Quality: iTunes High-Res (3000px) | SUCCESS (Studio Album)
Dua Lipa - Houdini (Live From Mexico).m4a | Houdini (Live From Mexico) - Dua Lipa | Matched: Houdini - Single | Score: 270 | Quality: iTunes High-Res (3000px) | SUCCESS (Single)
Ed Sheeran - Bad Habits (feat. Bring Me The Horizon).m4a | Bad Habits (feat. Bring Me The Horizon) - Ed Sheeran | Matched: Bad Habits - Single | Score: 270 | Quality: iTunes High-Res (3000px) | SUCCESS (Single)
Ed Sheeran - Perfect.m4a | Perfect - Ed Sheeran | Matched: ÷ (Deluxe) | Score: 240 | Quality: iTunes High-Res (3000px) | SUCCESS (Studio Album)
Ed Sheeran - Sapphire.m4a | Sapphire - Ed Sheeran | Matched: Play | Score: 240 | Quality: iTunes High-Res (3000px) | SUCCESS (Studio Album)
Ed Sheeran - Shivers.m4a | Shivers - Ed Sheeran | Matched: = | Score: 240 | Quality: iTunes High-Res (3000px) | SUCCESS (Studio Album)
Ella Langley - Be Her.m4a | Be Her - Ella Langley | Matched: Dandelion | Score: 240 | Quality: iTunes High-Res (3000px) | SUCCESS (Studio Album)
Ellie Goulding, Diplo & Swae Lee - Close to Me.m4a | Close to Me - Ellie Goulding, Diplo & Swae Lee | Matched: Brightest Blue | Score: 240 | Quality: iTunes High-Res (3000px) | SUCCESS (Studio Album)
Enphamus & Queen Key - You Scared.m4a | You Scared - Enphamus & Queen Key | Matched: No Biggie | Score: 235 | Quality: Deezer HD Artwork (1000px) | SUCCESS (Studio Album)
Estelle - American Boy (feat. Kanye West).m4a | American Boy (feat. Kanye West) - Estelle | Matched: American Boy (Live from Apple Music Studios) | Score: 120 | Quality: iTunes High-Res (3000px) | SUCCESS (Studio Album)
Fall Out Boy - Thnks fr th Mmrs.m4a | Thnks fr th Mmrs - Fall Out Boy | Matched: Infinity On High | Score: 240 | Quality: iTunes High-Res (3000px) | SUCCESS (Studio Album)
FIFTY FIFTY - Cupid (Twin Version).m4a | Cupid (Twin Version) - FIFTY FIFTY | Matched: The Beginning | Score: 240 | Quality: iTunes High-Res (3000px) | SUCCESS (Studio Album)
Five for Fighting - Superman (It's Not Easy).m4a | Superman (It's Not Easy) - Five for Fighting | Matched: America Town | Score: 240 | Quality: iTunes High-Res (3000px) | SUCCESS (Studio Album)
Fujii Kaze - Love Like This.m4a | Love Like This - Fujii Kaze | Matched: Prema | Score: 240 | Quality: iTunes High-Res (3000px) | SUCCESS (Studio Album)
Gigi Perez - Sailor Song.m4a | Sailor Song - Gigi Perez | Matched: Sailor Song - Single | Score: 270 | Quality: iTunes High-Res (3000px) | SUCCESS (Single)
GRACE. - morethanwordscansay_.m4a | morethanwordscansay. - GRACE. | Matched: morethanwordscansay. - Single | Score: 270 | Quality: iTunes High-Res (3000px) | SUCCESS (Single)
Gracie Abrams - Close To You.m4a | Close To You - Gracie Abrams | Matched: The Secret of Us | Score: 240 | Quality: iTunes High-Res (3000px) | SUCCESS (Studio Album)
Gracie Abrams - That’s So True.m4a | That’s So True - Gracie Abrams | Matched: The Secret of Us (Deluxe) | Score: 240 | Quality: iTunes High-Res (3000px) | SUCCESS (Studio Album)
Green Day - 21 Guns.m4a | 21 Guns - Green Day | Matched: 21 Guns (DMD Maxi) | Score: 240 | Quality: Deezer HD Artwork (1000px) | SUCCESS (Studio Album)
Gráinne Duffy - Well Well Well.m4a | Well Well Well - Gráinne Duffy | Matched: Dirt Woman Blues | Score: 240 | Quality: iTunes High-Res (3000px) | SUCCESS (Studio Album)
Haley Bennett & Hugh Grant - Way Back Into Love.m4a | Way Back Into Love - Haley Bennett & Hugh Grant | Matched: The Ghosts Are Gone - Single (feat. Cassondra James & Taylor Coleman) | Score: 135 | Quality: iTunes High-Res (3000px) | SUCCESS (Single)
Harry Styles - Watermelon Sugar.m4a | Watermelon Sugar - Harry Styles | Matched: Fine Line | Score: 240 | Quality: iTunes High-Res (3000px) | SUCCESS (Studio Album)
Haven - Say Something.m4a | Say Something - Haven | Matched: Between the Senses | Score: 240 | Quality: iTunes High-Res (3000px) | SUCCESS (Studio Album)
Henry Moodie - mood swings.m4a | mood swings - Henry Moodie | Matched: mood swings | Score: 270 | Quality: iTunes High-Res (3000px) | SUCCESS (Single)
Hermitude - Onefourthree (feat. Buddy & BJ the Chicago Kid).m4a | Onefourthree (feat. Buddy & BJ the Chicago Kid) - Hermitude | Matched: Pollyanarchy (Deluxe Version) | Score: 240 | Quality: Deezer HD Artwork (1000px) | SUCCESS (Studio Album)
Hootie & The Blowfish - Only Wanna Be with You.m4a | Only Wanna Be with You - Hootie & The Blowfish | Matched: Cracked Rear View | Score: 240 | Quality: Deezer HD Artwork (1000px) | SUCCESS (Studio Album)
Hozier - Too Sweet.m4a | Too Sweet - Hozier | Matched: Unheard | Score: 240 | Quality: Deezer HD Artwork (1000px) | SUCCESS (Studio Album)
HYBS - Tip Toe.m4a | Tip Toe - HYBS | Matched: Tip Toe - Single | Score: 270 | Quality: iTunes High-Res (3000px) | SUCCESS (Single)
Imagine Dragons - On Top of the World.m4a | On Top of the World - Imagine Dragons | Matched: Night Visions | Score: 240 | Quality: iTunes High-Res (3000px) | SUCCESS (Studio Album)
Imagine Dragons - Sharks.m4a | Sharks - Imagine Dragons | Matched: Sharks | Score: 270 | Quality: Deezer HD Artwork (1000px) | SUCCESS (Single)
Jamie xx - Treat Each Other Right.m4a | Treat Each Other Right - Jamie xx | Matched: In Waves | Score: 240 | Quality: iTunes High-Res (3000px) | SUCCESS (Studio Album)
Jason Derulo - Whatcha Say.m4a | Whatcha Say - Jason Derulo | Matched: Jason Derulo | Score: 240 | Quality: iTunes High-Res (3000px) | SUCCESS (Studio Album)
Javier - Crazy.m4a | Crazy - Javier | Matched: Crazy - Single | Score: 265 | Quality: iTunes High-Res (3000px) | SUCCESS (Single)
Jess Glynne - Hold My Hand.m4a | Hold My Hand - Jess Glynne | Matched: I Cry When I Laugh | Score: 240 | Quality: Deezer HD Artwork (1000px) | SUCCESS (Studio Album)
Jimin - Who.m4a | Who - Jimin | Matched: MUSE | Score: 240 | Quality: Deezer HD Artwork (1000px) | SUCCESS (Studio Album)
John Legend - Green Light (feat. André 3000).m4a | Green Light (feat. André 3000) - John Legend | Matched: Evolver | Score: 240 | Quality: Deezer HD Artwork (1000px) | SUCCESS (Studio Album)
Justin Bieber - Never Say Never (feat. Jaden).m4a | Never Say Never (feat. Jaden) - Justin Bieber | Matched: Never Say Never | Score: 30 | Quality: Deezer HD Artwork (1000px) | SUCCESS (Single)
Justin Timberlake - Like I Love You.m4a | Like I Love You - Justin Timberlake | Matched: Justified | Score: 240 | Quality: Deezer HD Artwork (1000px) | SUCCESS (Studio Album)
Justin Timberlake - SexyBack (feat. Timbaland).m4a | SexyBack (feat. Timbaland) - Justin Timberlake | Matched: FutureSex/LoveSounds Deluxe Edition | Score: 240 | Quality: Deezer HD Artwork (1000px) | SUCCESS (Studio Album)
JVKE & Nick Jonas - this is what forever feels like.m4a | this is what forever feels like - JVKE & Nick Jonas | Matched: this is what forever feels like | Score: 265 | Quality: Deezer HD Artwork (1000px) | SUCCESS (Single)
Kali Uchis - Moonlight.m4a | Moonlight - Kali Uchis | Matched: Moonlight | Score: 270 | Quality: Deezer HD Artwork (1000px) | SUCCESS (Single)
Katharine McPhee - Somewhere Over the Rainbow.m4a | Somewhere Over the Rainbow - Katharine McPhee | Matched: Somewhere Over The Rainbow / My Destiny | Score: 240 | Quality: Deezer HD Artwork (1000px) | SUCCESS (Studio Album)
KATSEYE - Gabriela.m4a | Gabriela - KATSEYE | Matched: Gabriela | Score: 270 | Quality: Deezer HD Artwork (1000px) | SUCCESS (Single)
Katy Perry - California Gurls (feat. Snoop Dogg).m4a | California Gurls (feat. Snoop Dogg) - Katy Perry | Matched: Teenage Dream: The Complete Confection | Score: 240 | Quality: Deezer HD Artwork (1000px) | SUCCESS (Studio Album)
Katy Perry - International Smile.m4a | International Smile - Katy Perry | Matched: PRISM (Deluxe) | Score: 240 | Quality: Deezer HD Artwork (1000px) | SUCCESS (Studio Album)
Katy Perry - The One That Got Away.m4a | The One That Got Away - Katy Perry | Matched: Teenage Dream: The Complete Confection | Score: 240 | Quality: Deezer HD Artwork (1000px) | SUCCESS (Studio Album)
Keane - Everybody's Changing.m4a | Everybody's Changing - Keane | Matched: Everybody’s Changing (Demo / July 2002) | Score: 240 | Quality: Deezer HD Artwork (1000px) | SUCCESS (Studio Album)
Kelly Clarkson - Since U Been Gone (AOL Live Version).m4a | Since U Been Gone (AOL Live Version) - Kelly Clarkson | Matched: Since U Been Gone | Score: 270 | Quality: Deezer HD Artwork (1000px) | SUCCESS (Single)
Kenya Grace - Strangers.m4a | Strangers - Kenya Grace | Matched: Strangers | Score: 270 | Quality: Deezer HD Artwork (1000px) | SUCCESS (Single)
keshi - Inside Out.m4a | Inside Out - keshi | Matched: Requiem (Deluxe) | Score: 240 | Quality: Deezer HD Artwork (1000px) | SUCCESS (Studio Album)
keshi - Soft Spot.m4a | Soft Spot - keshi | Matched: Requiem | Score: 240 | Quality: Deezer HD Artwork (1000px) | SUCCESS (Studio Album)
Kevon Edmonds - 24_7.m4a | 24/7 - Kevon Edmonds | Matched: 24/7 | Score: 270 | Quality: Deezer HD Artwork (1000px) | SUCCESS (Single)
Khalid - in plain sight.m4a | in plain sight - Khalid | Matched: in plain sight | Score: 270 | Quality: Deezer HD Artwork (1000px) | SUCCESS (Single)
Lady Gaga & BLACKPINK - Sour Candy.m4a | Sour Candy - Lady Gaga & BLACKPINK | Matched: Chromatica | Score: 235 | Quality: Deezer HD Artwork (1000px) | SUCCESS (Studio Album)
Lady Gaga & Bruno Mars - Die With A Smile.m4a | Die With A Smile - Lady Gaga & Bruno Mars | Matched: Die With A Smile | Score: 265 | Quality: Deezer HD Artwork (1000px) | SUCCESS (Single)
Laufey - From The Start.m4a | From The Start - Laufey | Matched: From The Start | Score: 270 | Quality: Deezer HD Artwork (1000px) | SUCCESS (Single)
LE SSERAFIM - BOOMPALA.m4a | BOOMPALA - LE SSERAFIM | Matched: BOOMPALA | Score: 270 | Quality: Deezer HD Artwork (1000px) | SUCCESS (Single)
LE SSERAFIM - EASY.m4a | EASY - LE SSERAFIM | Matched: EASY | Score: 270 | Quality: Deezer HD Artwork (1000px) | SUCCESS (Single)
Lifehouse - You And Me.m4a | You And Me - Lifehouse | Matched: Who We Are (Expanded Edition) | Score: 240 | Quality: Deezer HD Artwork (1000px) | SUCCESS (Studio Album)
Lil Dankus - Intermission.m4a | Intermission - Lil Dankus | Matched: Normal Man Rockin' Well | Score: 240 | Quality: Deezer HD Artwork (1000px) | SUCCESS (Studio Album)
Lil Dicky - Pillow Talking (feat. Brain).m4a | Pillow Talking (feat. Brain) - Lil Dicky | Matched: Professional Rapper | Score: 240 | Quality: Deezer HD Artwork (1000px) | SUCCESS (Studio Album)
LISA - Moonlit Floor (Kiss Me).m4a | Moonlit Floor (Kiss Me) - LISA | Matched: Moonlit Floor (Kiss Me) | Score: 240 | Quality: Deezer HD Artwork (1000px) | SUCCESS (Studio Album)
M2M - Don't Say You Love Me.m4a | Don't Say You Love Me - M2M | Matched: Shades of Purple | Score: 240 | Quality: Deezer HD Artwork (1000px) | SUCCESS (Studio Album)
Madison Beer - bittersweet.m4a | bittersweet - Madison Beer | Matched: bittersweet | Score: 270 | Quality: Deezer HD Artwork (1000px) | SUCCESS (Single)
Madison Beer - Reckless.m4a | Reckless - Madison Beer | Matched: Reckless | Score: 270 | Quality: Deezer HD Artwork (1000px) | SUCCESS (Single)
Madison Beer - yes baby.m4a | yes baby - Madison Beer | Matched: yes baby | Score: 270 | Quality: Deezer HD Artwork (1000px) | SUCCESS (Single)
Mae Stephens - If We Ever Broke Up.m4a | If We Ever Broke Up - Mae Stephens | Matched: If We Ever Broke Up | Score: 270 | Quality: Deezer HD Artwork (1000px) | SUCCESS (Single)
Major Lazer - Lean On (feat. DJ Snake & MØ).m4a | Lean On (feat. DJ Snake & MØ) - Major Lazer | Matched: Peace Is The Mission (Extended) | Score: 240 | Quality: iTunes High-Res (3000px) | SUCCESS (Studio Album)
Mandy Moore & Jonathan Foreman - Someday We'll Know.m4a | Someday We'll Know - Mandy Moore & Jonathan Foreman | Matched: A Walk To Remember Music From The Motion Picture | Score: 235 | Quality: Deezer HD Artwork (1000px) | SUCCESS (Studio Album)
Mariah Carey - Bye Bye.m4a | Bye Bye - Mariah Carey | Matched: E=MC2 (Deluxe Version) | Score: 240 | Quality: Deezer HD Artwork (1000px) | SUCCESS (Studio Album)
Maroon 5 - Moves Like Jagger (feat. Christina Aguilera) [Studio Recording from the Voice Performance].m4a | Moves Like Jagger (feat. Christina Aguilera) [Studio Recording from the Voice Performance] - Maroon 5 | Matched: Moves Like Jagger | Score: 270 | Quality: Deezer HD Artwork (1000px) | SUCCESS (Single)
Maroon 5 - Sugar.m4a | Sugar - Maroon 5 | Matched: Love Is Like (Deluxe) | Score: 170 | Quality: Deezer HD Artwork (1000px) | SUCCESS (Studio Album)
Meghan Trainor & T-Pain - Been Like This.m4a | Been Like This - Meghan Trainor & T-Pain | Matched: Been Like This | Score: 265 | Quality: Deezer HD Artwork (1000px) | SUCCESS (Single)
Meghan Trainor - Like I'm Gonna Lose You (feat. John Legend).m4a | Like I'm Gonna Lose You (feat. John Legend) - Meghan Trainor | Matched: Title (Deluxe) | Score: 240 | Quality: Deezer HD Artwork (1000px) | SUCCESS (Studio Album)
Meghan Trainor - Made You Look.m4a | Made You Look - Meghan Trainor | Matched: Takin' It Back | Score: 240 | Quality: Deezer HD Artwork (1000px) | SUCCESS (Studio Album)
Metro Boomin, The Weeknd & 21 Savage - Creepin'.m4a | Creepin' - Metro Boomin, The Weeknd & 21 Savage | Matched: HEROES & VILLAINS | Score: 235 | Quality: Deezer HD Artwork (1000px) | SUCCESS (Studio Album)
Miley Cyrus - Flowers.m4a | Flowers - Miley Cyrus | Matched: Flowers | Score: 270 | Quality: Deezer HD Artwork (1000px) | SUCCESS (Single)
My Chemical Romance - I Don't Love You.m4a | I Don't Love You - My Chemical Romance | Matched: The Black Parade | Score: 240 | Quality: Deezer HD Artwork (1000px) | SUCCESS (Studio Album)
Myles Smith - Stargazing.m4a | Stargazing - Myles Smith | Matched: Stargazing | Score: 270 | Quality: Deezer HD Artwork (1000px) | SUCCESS (Single)
Måneskin - Beggin' (Live).m4a | Beggin' (Live) - Måneskin | Matched: Chosen | Score: 240 | Quality: Deezer HD Artwork (1000px) | SUCCESS (Studio Album)
Ne-Yo - Sexy Love.m4a | Sexy Love - Ne-Yo | Matched: In My Own Words | Score: 240 | Quality: Deezer HD Artwork (1000px) | SUCCESS (Studio Album)
Ne-Yo - So Sick.m4a | So Sick - Ne-Yo | Matched: In My Own Words | Score: 240 | Quality: Deezer HD Artwork (1000px) | SUCCESS (Studio Album)
No Doubt - Hey Baby (feat. Bounty Killer).m4a | Hey Baby (feat. Bounty Killer) - No Doubt | Matched: Hey Baby | Score: 270 | Quality: Deezer HD Artwork (1000px) | SUCCESS (Single)
Norah Jones - Come Away with Me.m4a | Come Away with Me - Norah Jones | Matched: Midnight Jones | Score: 240 | Quality: Deezer HD Artwork (1000px) | SUCCESS (Studio Album)
Olivia Dean - Man I Need.m4a | Man I Need - Olivia Dean | Matched: Man I Need | Score: 270 | Quality: Deezer HD Artwork (1000px) | SUCCESS (Single)
Olivia Rodrigo - good 4 u.m4a | good 4 u - Olivia Rodrigo | Matched: SOUR | Score: 240 | Quality: Deezer HD Artwork (1000px) | SUCCESS (Studio Album)
One Direction - Night Changes.m4a | Night Changes (Afterhrs Remix) - One Direction | Matched: FOUR (Deluxe) | Score: 240 | Quality: Deezer HD Artwork (1000px) | SUCCESS (Studio Album)
One Direction - Story of My Life.m4a | Story of My Life - One Direction | Matched: Midnight Memories (Deluxe) | Score: 240 | Quality: Deezer HD Artwork (1000px) | SUCCESS (Studio Album)
OneRepublic - Good Life.m4a | Good Life - OneRepublic | Matched: Waking Up (International Deluxe Version) | Score: 240 | Quality: Deezer HD Artwork (1000px) | SUCCESS (Studio Album)
OneRepublic - I Ain't Worried.m4a | I Ain't Worried - OneRepublic | Matched: Top Gun: Maverick (Music From The Motion Picture) | Score: 240 | Quality: Deezer HD Artwork (1000px) | SUCCESS (Studio Album)
Phoenix - If I Ever Feel Better.m4a | If I Ever Feel Better - Phoenix | Matched: If I Ever Feel Better | Score: 270 | Quality: Deezer HD Artwork (1000px) | SUCCESS (Single)
Pitbull - Give Me Everything (feat. Ne-Yo, Afrojack & Nayer).m4a | Give Me Everything (feat. Ne-Yo, Afrojack & Nayer) - Pitbull | Matched: Give Me Everything (feat. Nayer) | Score: 240 | Quality: Deezer HD Artwork (1000px) | SUCCESS (Studio Album)
Post Malone - Circles.m4a | Circles - Post Malone | Matched: Circles | Score: 270 | Quality: Deezer HD Artwork (1000px) | SUCCESS (Single)
Post Malone - I Had Some Help (feat. Morgan Wallen).m4a | I Had Some Help (feat. Morgan Wallen) - Post Malone | Matched: I Had Some Help | Score: 270 | Quality: Deezer HD Artwork (1000px) | SUCCESS (Single)
Post Malone - Psycho (feat. Ty Dolla $ign).m4a | Psycho (feat. Ty Dolla $ign) - Post Malone | Matched: beerbongs & bentleys | Score: 240 | Quality: Deezer HD Artwork (1000px) | SUCCESS (Studio Album)
Prep - Do What You Gotta (feat. Sunset Rollercoaster).m4a | Do What You Gotta (feat. Sunset Rollercoaster) - Prep | Matched: Do What You Gotta | Score: 270 | Quality: Deezer HD Artwork (1000px) | SUCCESS (Single)
